Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05200:Pathways in cancer	64	13.973799126637553	1.3847323289135023E-14	RB1, GSK3B, CDKN1B, HSP90AB1, PTEN, CASP9, CCND3, RPS6KA5, FGF9, CCND1, AKT2, HEY2, RAC1, SKP2, NCOA1, HSP90AA1, IFNGR1, DAPK1, DAPK2, TRAF2, PRKCA, FOS, MMP9, RHOA, MSH6, BCR, PIK3CA, TRAF5, SOS1, BIRC2, ROCK1, MAX, EPAS1, NOTCH4, XIAP, EGFR, RELA, HSP90B1, MAPK8, BCL2L11, RXRA, HMOX1, MAPK1, E2F3, WNT4, EGLN1, STAT5A, ZBTB17, TGFB1, JUP, BAD, GADD45A, STAT3, LAMB1, MLH1, EPOR, GADD45G, NFKB2, BMP4, BMP2, KITLG, KRAS, FGFR2, BCL2L1	362	531	8662	2.883998709825098	4.218847493575595E-12	4.209586279897047E-12	2.6448387482247896E-12
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	27	5.895196506550218	1.9072226735596824E-11	CDKN1B, PTEN, IRS2, NLK, EGFR, MAPK8, BCL2L11, CCND1, AKT2, MAPK1, SKP2, CDKN2D, GABARAPL1, TGFB1, PRMT1, GADD45A, BNIP3, STAT3, FBXO32, GADD45G, RBL2, G6PC2, PIK3CA, CCNG2, KRAS, ATM, SOS1	362	131	8662	4.931761629623382	5.797945235030966E-9	2.8989784638107173E-9	1.8213976532494967E-9
KEGG_PATHWAY	hsa05215:Prostate cancer	23	5.021834061135371	4.528258865021566E-11	RB1, GSK3B, HSP90AA1, CDKN1B, HSP90AB1, BAD, PTEN, MMP9, EGFR, RELA, HSP90B1, CASP9, CREB3, CREB1, ZEB1, PIK3CA, CCND1, AKT2, MAPK1, KRAS, E2F3, SOS1, FGFR2	362	97	8662	5.673691405137553	1.3765896755835172E-8	4.206128885481237E-9	2.642666503706961E-9
KEGG_PATHWAY	hsa05417:Lipid and atherosclerosis	34	7.423580786026202	5.5343801124753115E-11	GSK3B, HSP90AB1, SRC, TANK, AGER, RELA, HSP90B1, CASP9, MAPK8, RXRA, CASP6, AKT2, MAPK1, RAC1, ABCA1, HSP90AA1, HSPA4, BAD, STAT3, NFATC3, PRKCA, TRAF2, FOS, MMP9, RHOA, TNFRSF1A, MIB1, IRF3, PIK3CA, KRAS, ATF6, HSPA1B, BCL2L1, HSPA1A	362	215	8662	3.7839907490684825	1.682452743789753E-8	4.206128885481237E-9	2.642666503706961E-9
KEGG_PATHWAY	hsa05222:Small cell lung cancer	21	4.585152838427948	7.903940662162279E-10	RB1, ZBTB17, CDKN1B, GADD45A, MAX, PTEN, XIAP, LAMB1, TRAF2, RELA, GADD45G, CASP9, RXRA, PIK3CA, CCND1, AKT2, TRAF5, E2F3, SKP2, BIRC2, BCL2L1	362	92	8662	5.461866442469373	2.4027977263418876E-7	4.8055959225946655E-8	3.019305332945991E-8
KEGG_PATHWAY	hsa05210:Colorectal cancer	20	4.366812227074235	1.5825985519543373E-9	GSK3B, TGFB1, GADD45A, BAD, FOS, MLH1, RHOA, EGFR, GADD45G, CASP9, MSH6, MAPK8, BCL2L11, PIK3CA, CCND1, AKT2, MAPK1, KRAS, RAC1, SOS1	362	86	8662	5.5646922780418855	4.811098276435999E-7	8.018499329901976E-8	5.037938723721307E-8
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	22	4.8034934497816595	3.0839412041609736E-9	EGLN1, CDKN1B, PFKFB3, ANGPT2, ANGPT1, IFNGR1, STAT3, PRKCA, ENO1, EGFR, RELA, LDHA, PIK3CA, AKT2, PGK1, HMOX1, MAPK1, ALDOC, ALDOA, GAPDH, EIF4E, PDK1	362	109	8662	4.829540270667545	9.375176909243166E-7	1.2088497990296191E-7	7.59507603995583E-8
KEGG_PATHWAY	hsa05207:Chemical carcinogenesis - receptor activation	31	6.768558951965066	3.1811836816568922E-9	RB1, ATF2, HSP90AB1, SRC, NR1I3, XIAP, RELA, EGFR, HSP90B1, CCND3, RXRA, FGF9, CCND1, AKT2, MAPK1, STAT5A, CHRNB4, HSP90AA1, BAD, VDR, STAT3, AIP, PRKCA, FOS, CREB3, CREB1, PIK3CA, KRAS, PGR, PPARA, SOS1	362	212	8662	3.498931512561243	9.670793634786179E-7	1.2088497990296191E-7	7.59507603995583E-8
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	30	6.550218340611353	5.314371016563885E-9	RB1, ATF2, CDKN1B, DDX3X, SRC, GTF2B, RELA, HDAC7, CCND3, CCND1, MAPK1, RAC1, SKP2, STAT5A, GSN, BAD, STAT3, TRAF2, RHOA, NFKB2, RBL2, KAT2B, CREB3, PKM, CREB1, IRF3, PIK3CA, TRAF5, MAPKAPK2, KRAS	362	204	8662	3.518849528761781	1.6155674997797576E-6	1.795076432261579E-7	1.1278276268485578E-7
KEGG_PATHWAY	hsa04210:Apoptosis	24	5.240174672489083	7.629320787493854E-9	DIABLO, GADD45A, BAD, XIAP, TRAF2, CFLAR, FOS, PTPN13, RELA, GADD45G, TNFRSF1A, CASP9, MAPK8, BCL2L11, PIK3CA, CASP6, CTSL, AKT2, MAPK1, KRAS, ATM, CTSD, BIRC2, BCL2L1	362	136	8662	4.222619434514137	2.3193108551478048E-6	2.234350795721195E-7	1.4038190854695665E-7
KEGG_PATHWAY	hsa04915:Estrogen signaling pathway	24	5.240174672489083	8.823680004787335E-9	NCOA1, ATF2, HSP90AA1, HSP90AB1, SRC, FOS, KRT10, MMP9, EGFR, HSP90B1, CREB3, KRT19, CREB1, PIK3CA, GPER1, AKT2, MAPK1, KRAS, PGR, SOS1, CTSD, HSPA1B, HSPA1A, HBEGF	362	137	8662	4.191797394846151	2.6823951368992738E-6	2.234350795721195E-7	1.4038190854695665E-7
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	18	3.9301310043668125	9.554789586965636E-9	RB1, STAT5A, TGFB1, CDKN1B, GADD45A, BAD, GAB2, RELA, GADD45G, BCR, PIK3CA, CCND1, AKT2, MAPK1, KRAS, E2F3, SOS1, BCL2L1	362	76	8662	5.667199767374237	2.9046518417175093E-6	2.234350795721195E-7	1.4038190854695665E-7
KEGG_PATHWAY	hsa05212:Pancreatic cancer	18	3.9301310043668125	9.554789586965636E-9	RB1, TGFB1, GADD45A, BAD, STAT3, EGFR, RELA, GADD45G, CASP9, MAPK8, PIK3CA, CCND1, AKT2, MAPK1, KRAS, E2F3, RAC1, BCL2L1	362	76	8662	5.667199767374237	2.9046518417175093E-6	2.234350795721195E-7	1.4038190854695665E-7
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	29	6.331877729257641	1.7386095334710824E-8	RB1, CDKN1B, TNFAIP3, RELA, RELB, CASP9, CCND3, MAPK8, BCL2L11, CCND1, SIN3A, AKT2, E2F3, CD58, RAC1, SKP2, GADD45A, STAT3, TRAF2, GADD45G, TAPBP, NFKB2, NCOR2, PSMC6, IRF3, PIK3CA, TRAF5, CALR, NFKBIB	362	202	8662	3.4352333023357584	5.285359062079387E-6	3.775266415537208E-7	2.371960149235548E-7
KEGG_PATHWAY	hsa04919:Thyroid hormone signaling pathway	22	4.8034934497816595	2.1690676315678725E-8	NCOA1, PFKFB2, GSK3B, SRC, BAD, NOTCH4, ATP2A2, PRKCA, ATP1B1, SLC9A1, CASP9, BMP4, KAT2B, RXRA, PIK3CA, CCND1, SIN3A, FXYD2, AKT2, MAPK1, KRAS, WNT4	362	121	8662	4.3505775991963835	6.593943946642256E-6	4.3959770666442216E-7	2.7619461175297575E-7
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	36	7.860262008733625	2.8800934035243466E-8	ATF2, MAX, HSPB1, NLK, RELA, EGFR, RELB, MAPK8, RPS6KA5, FGF9, AKT2, MAPK1, MAP3K8, RAC1, DUSP4, TGFB1, ANGPT2, ANGPT1, GADD45A, NFATC3, PRKCA, TRAF2, FOS, TNFRSF1A, GADD45G, NFKB2, NR4A1, KITLG, RASA1, MAPKAPK2, NF1, KRAS, SOS1, FGFR2, HSPA1B, HSPA1A	362	301	8662	2.8618417429929703	8.75544575784648E-6	5.184712359271111E-7	3.257500199410467E-7
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	17	3.711790393013101	2.899345727223976E-8	RB1, STAT5A, GADD45A, BAD, STAT3, PRKCA, EGFR, GADD45G, CASP9, RXRA, PIK3CA, CCND1, AKT2, MAPK1, KRAS, E2F3, SOS1	362	72	8662	5.649708410067526	8.81397230423353E-6	5.184712359271111E-7	3.257500199410467E-7
KEGG_PATHWAY	hsa05167:Kaposi sarcoma-associated herpesvirus infection	27	5.895196506550218	1.1465042716109112E-7	RB1, GSK3B, SRC, RELA, CASP9, MAP1LC3B, MAPK8, MAP1LC3A, CCND1, AKT2, MAPK1, E2F3, RAC1, MICA, ANGPT2, IFNGR1, STAT3, NFATC3, TRAF2, FOS, TNFRSF1A, CREB1, IRF3, PIK3CA, MAPKAPK2, KRAS, PIK3C3	362	194	8662	3.3302101725807374	3.485312446793731E-5	1.8605487479539634E-6	1.1689631936158124E-6
KEGG_PATHWAY	hsa01521:EGFR tyrosine kinase inhibitor resistance	17	3.711790393013101	1.1628429674712271E-7	GSK3B, SRC, BAD, STAT3, PTEN, PRKCA, EGFR, BCL2L11, PIK3CA, AKT2, NF1, MAPK1, KRAS, SOS1, EIF4E, FGFR2, BCL2L1	362	79	8662	5.149101335757745	3.5349803447437544E-5	1.8605487479539634E-6	1.1689631936158124E-6
KEGG_PATHWAY	hsa04920:Adipocytokine signaling pathway	16	3.4934497816593884	1.3241716289497146E-7	CPT1A, STAT3, TRAF2, IRS2, ADIPOR1, ADIPOR2, CPT1B, RELA, TNFRSF1A, G6PC2, MAPK8, RXRA, AKT2, PPARA, PPARGC1A, NFKBIB	362	70	8662	5.469297553275454	4.0254009972873206E-5	1.989726424467534E-6	1.2501241680042732E-6
KEGG_PATHWAY	hsa05166:Human T-cell leukemia virus 1 infection	29	6.331877729257641	1.374482069533494E-7	RB1, ATF2, ITGB2, PTEN, XIAP, RELA, RELB, CCND3, MAPK8, XPO1, CCND1, AKT2, MAPK1, E2F3, STAT5A, TGFB1, NFATC3, FOS, TNFRSF1A, NFKB2, KAT2B, CREB3, CD4, CREB1, PIK3CA, KRAS, ATM, CALR, BCL2L1	362	222	8662	3.1257528246478525	4.178338482752064E-5	1.989726424467534E-6	1.2501241680042732E-6
KEGG_PATHWAY	hsa04668:TNF signaling pathway	20	4.366812227074235	2.007343800278158E-7	ATF2, XIAP, TNFAIP3, TRAF2, CFLAR, FOS, MMP9, RELA, TNFRSF1A, CREB3, MAPK8, RPS6KA5, CREB1, PIK3CA, AKT2, TRAF5, BCL3, MAPK1, MAP3K8, BIRC2	362	114	8662	4.197925753610545	6.1021395765803454E-5	2.773784160384364E-6	1.7427393902414916E-6
KEGG_PATHWAY	hsa05161:Hepatitis B	24	5.240174672489083	2.1952241472524024E-7	RB1, STAT5A, ATF2, TGFB1, DDX3X, SRC, BAD, STAT3, NFATC3, PRKCA, FOS, MMP9, RELA, CASP9, CREB3, MAPK8, CREB1, PIK3CA, IRF3, AKT2, MAPK1, KRAS, E2F3, SOS1	362	162	8662	3.544915080826683	6.673259467215864E-5	2.9015136554988276E-6	1.8229904875009082E-6
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	38	8.296943231441048	2.659685456311932E-7	ATF2, GSK3B, CDKN1B, HSP90AB1, PTEN, RELA, EGFR, HSP90B1, CASP9, GYS1, CCND3, BCL2L11, RXRA, FGF9, CCND1, AKT2, SPP1, MAPK1, RAC1, EIF4E, HSP90AA1, ANGPT2, ANGPT1, BAD, LAMB1, PRKCA, EPOR, RBL2, NR4A1, CREB3, G6PC2, KITLG, CREB1, PIK3CA, KRAS, SOS1, FGFR2, BCL2L1	362	359	8662	2.532787515966697	8.08511799915701E-5	3.368934911328447E-6	2.1166663423149125E-6
KEGG_PATHWAY	hsa01522:Endocrine resistance	18	3.9301310043668125	4.929382076396363E-7	RB1, CDKN1B, SRC, BAD, NOTCH4, FOS, MMP9, EGFR, MAPK8, PIK3CA, CCND1, GPER1, AKT2, MAPK1, KRAS, E2F3, SOS1, HBEGF	362	98	8662	4.394971248167775	1.4984202460255336E-4	5.994128604897977E-6	3.766047906366821E-6
