,Activity_score,pval
Hypoxia,2.898925542831421,0.003749972976401228
Estrogen,1.094199299812317,0.27388549510446136
TGFb,0.9927983283996582,0.3208245749731389
Androgen,0.9037035703659058,0.36616740417004734
NFkB,0.44932088255882263,0.6532068154587778
p53,0.37213122844696045,0.7098005069983142
PI3K,-0.20294247567653656,0.8391828010835838
TNFa,-0.2836366593837738,0.7766928319612192
EGFR,-0.5519284009933472,0.5810057936341848
MAPK,-0.8719420433044434,0.38325422698067557
Trail,-0.946557879447937,0.3438796639586186
VEGF,-1.2517879009246826,0.21066706435386928
WNT,-3.1255722045898438,0.0017780485130112211
JAK-STAT,-8.134492874145508,4.440892098500626e-16
